orgpin,accountid,description,glrollup,lineitem,predv07
2992,44662,GROUP HEALTH EMPLOYEE PREMIUMS WITHHELD,GROUP HEALTH EMPLOYEE PREMIUMS,Accrued Employee Compensation and Benefits,Benefits
2992,44744,GROUP HEALTH EMPLOYEE PREMIUMS WITHHELD,GROUP HEALTH EMPLOYEE PREMIUMS,Accrued Employee Compensation and Benefits,Benefits
2992,47668,AC EMPLOYEE BENEFITS HSA-FSA PLAN EXPENSE,HSA-FSA PLAN EXPENSE,Accrued Employee Compensation and Benefits,Benefits
3110,354,L-T DISABILITY INSURANCE,L,Accrued Employee Compensation and Benefits,Benefits
3110,357,TAXABLE EMPLOYEE AWARDS,L,Accrued Employee Compensation and Benefits,Benefits
3110,359,WORKERS COMPENSATION,L,Accrued Employee Compensation and Benefits,Benefits
3132,2434,Payroll Deduction Other Employee Benefits Non Physician,Payroll Deduction,Accrued Employee Compensation and Benefits,Benefits
3132,2436,Employee Benefits Non Physician Accrued Payroll,Employee Benefits Non Physician,Accrued Employee Compensation and Benefits,Benefits
3146,5172,Unemployment Ins Prem - Staff Unemployment,Employer Required Taxes,Accrued Employee Compensation and Benefits,Benefits
3150,708,STATE DISABILITY INSURANCE W-H,Not Specified,Accrued Employee Compensation and Benefits,Benefits
3150,717,EMPLOYEE INSUR LT DISABILITY,Not Specified,Accrued Employee Compensation and Benefits,Benefits
3150,723,WORKERS COMPENSATION,Not Specified,Accrued Employee Compensation and Benefits,Benefits
3150,733,VISION PTX,Not Specified,Accrued Employee Compensation and Benefits,Benefits
3150,734,DPI VISION CREDIT,Not Specified,Accrued Employee Compensation and Benefits,Benefits
3150,735,DENTAL PTX,Not Specified,Accrued Employee Compensation and Benefits,Benefits
3150,736,DPI DENTAL CREDIT,Not Specified,Accrued Employee Compensation and Benefits,Benefits
3157,19612,WORKERS COMP GROSS-UP,Not Specified,Accrued Employee Compensation and Benefits,Benefits
3157,19913,UNEMPLOYMENT INSURANCE,Not Specified,Accrued Employee Compensation and Benefits,Benefits
3157,19925,UTICA LIFE INSURANCE,Not Specified,Accrued Employee Compensation and Benefits,Benefits
3157,19931,FRINGE BENEFITS DED PAY 05,Not Specified,Accrued Employee Compensation and Benefits,Benefits
3157,19967,GUARDIAN LIFE INS,Not Specified,Accrued Employee Compensation and Benefits,Benefits
3177,290,TAX-FICA,,Accrued Employee Compensation and Benefits,Benefits
3177,317,PENSION ACCUMULATOR,,Accrued Employee Compensation and Benefits,Benefits
3177,318,PENSION ACCUM-409A,,Accrued Employee Compensation and Benefits,Benefits
3179,591,EMPIRE 401K,0,Accrued Employee Compensation and Benefits,Benefits
3179,595,EMPIRE QACA 401K LN,0,Accrued Employee Compensation and Benefits,Benefits
3196,686,HEALTH INSURANCE,Not Specified,Accrued Employee Compensation and Benefits,Benefits
3196,688,DENTAL INSURANCE,Not Specified,Accrued Employee Compensation and Benefits,Benefits
3196,695,TDA-AETNA LIFE INSURANCE,Not Specified,Accrued Employee Compensation and Benefits,Benefits
3196,700,SPH RETIREMENT PLAN (W-H),Not Specified,Accrued Employee Compensation and Benefits,Benefits
3196,719,WORKERS COMPENSATION,Not Specified,Accrued Employee Compensation and Benefits,Benefits
3198,392,ACCRUAL- LIFE INSURANCE,Not Specified,Accrued Employee Compensation and Benefits,Benefits
3198,393,ACCRUAL- HEALTH INSURANCE,Not Specified,Accrued Employee Compensation and Benefits,Benefits
3198,397,LTD EXEC and PHYSICIAN,Not Specified,Accrued Employee Compensation and Benefits,Benefits
3198,400,ACCRUAL- VISION PLAN,Not Specified,Accrued Employee Compensation and Benefits,Benefits
3198,405,401 RETIREMENT,Not Specified,Accrued Employee Compensation and Benefits,Benefits
3198,406,457B-RETIREMENT,Not Specified,Accrued Employee Compensation and Benefits,Benefits
3198,422,ACCRUAL- FICA,Not Specified,Accrued Employee Compensation and Benefits,Benefits
3200,364,SHORT TERM DISABILITY FOR PTES,Not Specified,Accrued Employee Compensation and Benefits,Benefits
3200,365,LIFE AND LONG TERM INSURANCE,Not Specified,Accrued Employee Compensation and Benefits,Benefits
3200,372,FUTA,Not Specified,Accrued Employee Compensation and Benefits,Benefits
3200,373,SUTA,Not Specified,Accrued Employee Compensation and Benefits,Benefits
3200,374,EMPL SPENDING A-C - FLEXBEN,Not Specified,Accrued Employee Compensation and Benefits,Benefits
1975,22769,BLUE CROSS HEALTH INSURANCE,,Accrued Employee Compensation and Benefits,Benefits
1975,13572,EMPLOYEE FUND,,Accrued Employee Compensation and Benefits,Benefits
1975,14141,FUTA,,Accrued Employee Compensation and Benefits,Benefits
1975,13538,FICA-INCENTIVE PROGRAM,,Accrued Employee Compensation and Benefits,Benefits
3228,980,DC PLAN and 403B MATCH,Not Specified,Accrued Employee Compensation and Benefits,Benefits
3228,981,PHYSICIAN 457B and 403B MATCH,Not Specified,Accrued Employee Compensation and Benefits,Benefits
3220,1398,Emp Contr Physician Group Life,Life Insurance,Accrued Employee Compensation and Benefits,Benefits
1475,3864,Health Insurance,Balance Sheet,Accrued Employee Compensation and Benefits,Benefits
3218,3073,Employee Health Insurance,NO,Accrued Employee Compensation and Benefits,Benefits
3218,3042,Long Term Disability Ins,NO,Accrued Employee Compensation and Benefits,Benefits
2968,1503,CPE TUITION FUND,2050,Accrued Employee Compensation and Benefits,Benefits
1137,7969,Employer Paid Taxes - Workers Compensation-PR - Health and Dental Insurance,,Accrued Employee Compensation and Benefits,Benefits
1137,952,Employee Education-Training,Other Expenses,Other Expenses,Benefits
1137,1091,CPI Training,Other Expenses,Other Expenses,Benefits
1170,4828,Benefits Staff-Maintenance and Repairs Non-Clinical Other,Spectrum Financials,Other Expenses,Benefits
1170,4834,Benefits Staff-Billed Provider Services,Spectrum Financials,Other Expenses,Benefits
1284,2114,Training Development,Other Operating Expenses,Other Expenses,Benefits
1284,4249,Benefits-Development Commun,Other Operating Expenses,Other Expenses,Benefits
1829,907,TRAVEL-LODGING,PROF_DEV,Other Expenses,Benefits
1975,276,SCHOLARSHIPS AND AWARDS,Other (exp),Other Expenses,Benefits
2036,171,EDUCATION,EXPENSES,Other Expenses,Benefits
2036,172,TUITION AND BOOKS,EXPENSES,Other Expenses,Benefits
2706,3896,In-house Training,INDIRECT MARGIN,Other Expenses,Benefits
2714,448,Education - Including Travel,Other Expenses,Other Expenses,Benefits
2719,78,EMP BENE-HOSP FUNCTION,Other (Operating),Other Expenses,Benefits
2950,1679,Tuition Assistance,Education Expenses,Other Expenses,Benefits
2950,1719,Prospective Staff,Prospective Staff,Other Expenses,Benefits
2950,1725,Relocation Expense,Relocation Expenses,Other Expenses,Benefits
2973,2152,VASCULAR TECH TUITION,SUPPLIES AND SERVICES,Other Expenses,Benefits
2973,6572,EMPLOYEE ENGAGEMENT COMMITEE,SUPPLIES AND SERVICES,Other Expenses,Benefits
2975,292,PHYSICIAN-EMPLOYEE GUARANTEES,OTH OPERATING EXP,Other Expenses,Benefits
2980,1466,ALCOHOL,Travel - Business,Other Expenses,Benefits
2982,1499,Assoc Pract Dues Subscriptions,EMPLBENEFITS,Other Expenses,Benefits
2988,272,Continuing Medical Education,30 - Services,Other Expenses,Benefits
2988,9889,Other Benefits - Academic Enrichment,Other Employee Expenses,Other Expenses,Benefits
2988,13509,Employee Recognition,Other Expense,Other Expenses,Benefits
2988,13662,Fee Authorizations,Student Aid,Other Expenses,Benefits
2988,13666,Athletic Awards,Student Aid,Other Expenses,Benefits
2990,1229,Tuition- Scholarship-Books,EOOTHCOMM,Other Expenses,Benefits
2992,23679,TELECOMMUNICATIONS CONT ED EXPENSE,CONTINUING EDUCATION EXPENSE,Other Expenses,Benefits
2992,24683,PROCESS IMPROVEMENT STAFF DEVLPMNT-TRAIN,STAFF DEVLPMNT-TRAIN,Other Expenses,Benefits
2992,36696,NWA FND OFFICE VOLUNTEER RECOGNITN,VOLUNTEER RECOGNITN,Other Expenses,Benefits
2992,38508,AC EMPLOYEE BENEFITS PRINTING,PRINTING,Other Expenses,Benefits
2992,44650,FandA MATCHING INCENTIVE,FandA MATCHING INCENTIVE,Other Expenses,Benefits
2992,46002,SAFECARE ADMIN STAFF DEVLPMNT-TRAIN,STAFF DEVLPMNT-TRAIN,Other Expenses,Benefits
2992,46208,INFORMATICS CONT ED EXPENSE,CONTINUING EDUCATION EXPENSE,Other Expenses,Benefits
2992,47371,ACNW VOLUNTEERS VOLUNTEER RECOGNITN,VOLUNTEER RECOGNITN,Other Expenses,Benefits
2992,63802,3C Intermediate Care-Benefits Expense-,,Other Expenses,Benefits
2992,63805,Family Resource Library-Benefits Expense-,,Other Expenses,Benefits
2992,63886,Annual Gifts-Benefits Expense-,,Other Expenses,Benefits
2992,63967,Lab-Benefits Expense-,,Other Expenses,Benefits
2992,63979,Pediatric Department-Benefits Expense-,,Other Expenses,Benefits
2992,64037,Transport Services-Other Operating Expense-Continuing Education,CONTINUING EDUCATION EXPENSE,Other Expenses,Benefits
2992,64042,5E Medical-Benefits Expense-,,Other Expenses,Benefits
2992,64051,4D Neuroscience-Benefits Expense-,,Other Expenses,Benefits
2992,64055,Wellness Program-Benefits Expense-,,Other Expenses,Benefits
2992,64056,Accounting-Benefits Expense-,,Other Expenses,Benefits
2992,64101,Admissions and Financial Counseling-Other Operating Expense-Continuing Educati,CONTINUING EDUCATION EXPENSE,Other Expenses,Benefits
3110,1161,PHYSICIAN ADVISORY,E,Other Expenses,Benefits
3112,3755,CUSTOMER SERVICE RECOGNITION,OTHER EXPENSES,Other Expenses,Benefits
3112,4482,EMPLOYEE ACTIVITIES,OTHER EXPENSES,Other Expenses,Benefits
3118,655,EMPLOYEE ASSISTANCE,EXPENSE,Other Expenses,Benefits
3118,657,EMPLOYEE GIFTS-AWARDS-ACTIVITIES,EXPENSE,Other Expenses,Benefits
3118,659,EMPLOYEE RELOCATION COSTS,EXPENSE,Other Expenses,Benefits
3120,498,Awards Recognition,Other Operating Expense,Other Expenses,Benefits
3121,4297,Employee Activity,( LAWSON - IS - Operating Expenses - Other Supplies and Services ),Other Expenses,Benefits
3121,5086,Physician Loan Amortization,( LAWSON - IS - Operating Expenses - Other Supplies and Services ),Other Expenses,Benefits
3121,8079,Misc Tuition Reimbursement,(( LAWSON - DO NOT USE )),Other Expenses,Benefits
3122,1010,EMPLOYEE RECOGNITION-AWARDS,OUTSIDE MEALS and ENTERTAINMENT,Other Expenses,Benefits
3133,1604,720300-WELLNESS PROGRAM,NON-PHY FRNG,Other Expenses,Benefits
3136,678,TRAVEL,EXPENSE,Other Expenses,Benefits
3136,727,PROFESSIONAL DEVELOPMENT,EXPENSE,Other Expenses,Benefits
3146,1503,TRAVEL,Expense,Other Expenses,Benefits
3146,1534,GRANT OTHER BENEFITS,Expense,Other Expenses,Benefits
3146,2735,Employee Recognition,Recruitment,Other Expenses,Benefits
3148,1046,TRAVEL,OTHER,Other Expenses,Benefits
3159,2127,PUBLIC REL:MED ILLUSTRATION,Public Relations-Employee Rec,Other Expenses,Benefits
3159,2142,PUBLIC REL:BUSINESS RELATIONS,Public Relations-Employee Rec,Other Expenses,Benefits
3159,2345,TRAVEL:DOMESTIC,Other Expense,Other Expenses,Benefits
3159,2454,PROF DEV:RETENTION ACTIVITIES,Public Relations-Employee Rec,Other Expenses,Benefits
3159,2750,DEPARTMENT RELOCATION EXPENSE,Public Relations-Employee Rec,Other Expenses,Benefits
3159,2781,CLINICAL INCENTIVES,Public Relations-Employee Rec,Other Expenses,Benefits
3163,605,GS EDUCATION,EOC,Other Expenses,Benefits
3165,4115,Recognition Expense,SUPPLIESOTH,Other Expenses,Benefits
3167,79,Awards,Expense,Other Expenses,Benefits
3167,3342,CIPChgbacks-Admin,Expense,Other Expenses,Benefits
3167,3371,CCARE-Admin,Expense,Other Expenses,Benefits
3169,1506,CME,EXPENSES,Other Expenses,Benefits
3173,770,Outside training sessions,Training,Other Expenses,Benefits
3175,14,CME,NET INCOME,Other Expenses,Benefits
3175,51,CERTIFICATION,NET INCOME,Other Expenses,Benefits
3175,1921,PUBLICATION MATERIALS-PLAQUES-RECOGNITION,NET INCOME,Other Expenses,Benefits
3177,597,TUITION EXPENSE,,Other Expenses,Benefits
3177,599,ONA-TUITION,,Other Expenses,Benefits
3177,605,EMPLOYEE PREVENTATIVE,,Other Expenses,Benefits
3184,949,FORMS EXP,PL-Expenses,Other Expenses,Benefits
3184,1103,COMM BENEFIT SUBSIDIZED SERVICES EXP,PL-Expenses,Other Expenses,Benefits
3192,181,Candidate Travel,Outside training travel and education,Other Expenses,Benefits
2727,19782,Dues_Licenses-Physicians,Employee Benefits,Other Expenses,Benefits
2727,20724,Volunteer Service Awards,Other Expense,Other Expenses,Benefits
3113,70159,STA HS PROGRAM CONFERENCE-TRAINING,Expenses,Other Expenses,Benefits
3113,70273,STA ADMINSTRATION PENSION NET CHANGE,Expenses,Other Expenses,Benefits
3204,439,ADMINISTRATION,OPERATING EXPENSES,Other Expenses,Benefits
2052,151,Outside Training,Other,Other Expenses,Benefits
3228,891,TRUSTEE EDUCATION,Not Specified,Other Expenses,Benefits
3210,112,PRIMARY CARE PHYSICIAN CAP,Medical claims,Other Expenses,Benefits
3202,2932,PROFESSIONAL DEVELOPMENT,78100-EDUCATION,Other Expenses,Benefits
3220,916,RN Loan Reimbursement Program,Education Expenses,Other Expenses,Benefits
3220,790,Prospective Staff,Prospective Staff,Other Expenses,Benefits
3220,1396,Tuition Assistance,Education Expenses,Other Expenses,Benefits
3218,1614,Travel - NonEmployee,Travel and Membership,Other Expenses,Benefits
1191,3505,Teaching Supplies,Education Training,Other Expenses,Benefits
1191,3504,Conference Supplies,Education Training,Other Expenses,Benefits
3105,7479,Student Tuition Expense,080 FEES,Other Expenses,Benefits
3105,3362,Other Guests Travel Exp,100 SUPPLIES,Other Expenses,Benefits
2968,3340,MILEAGE,7060,Other Expenses,Benefits
3230,274,GIFTS-AWARDS,Other expense,Other Expenses,Benefits
2992,68437,Other Operating Expense-Staff Development Education,Operating,Other Expenses,Benefits
2992,65728,Overhead Expense-Health Savings Account Contribution,FG,Other Expenses,Benefits
2949,1679,Subrecipient Awards,7400 Other expenses,Other Expenses,Benefits
1137,7992,Continuing Medical Education-Training - Materials,,Other Expenses,Benefits
1496,4700,Recoveries - Hosp Tuition,Other Expenses,Other Expenses,Benefits
3135,6878,C P R TRAINING,OTHER EXPENSE,Other Expenses,Benefits
2990,156,I-D Capitation,EOIDHLTH,Contract Labor,Capitation Revenue
1178,13692,Cash-Other-Medicare,,Accounts Receivable (Gross),Cash and Cash Equivalents
2053,52,Cash Ctrl - POS Cash Receipts,UNAPPLIED_CASH,Accounts Receivable (Gross),Cash and Cash Equivalents
2053,61,Cash Ctrl - EMS - Lockbox,UNAPPLIED_CASH,Accounts Receivable (Gross),Cash and Cash Equivalents
2988,10955,Deposit in Transit,Assets,Accounts Receivable (Gross),Cash and Cash Equivalents
2988,11003,Returned Checks and Credit Card,Assets,Accounts Receivable (Gross),Cash and Cash Equivalents
1170,262,Epic Single Business Office Cash Clearing,Spectrum Financials,Accounts Receivable (Gross),Cash and Cash Equivalents
1170,3560,Epic Enterprise Cash Clearing,Spectrum Financials,Accounts Receivable (Gross),Cash and Cash Equivalents
3121,2270,Unclassified Cash,(( LAWSON - DO NOT USE )),Accounts Receivable (Gross),Cash and Cash Equivalents
3136,388,LEGACY CASH CHK CR CD,ASSET,Accounts Receivable (Gross),Cash and Cash Equivalents
3136,772,A-R AHC - EDI AGENCY,ASSET,Accounts Receivable (Gross),Cash and Cash Equivalents
3173,522,Limited Use Savings Accounts,Assets,Accounts Receivable (Gross),Cash and Cash Equivalents
3192,819,Returned Checks - Physician,,Accounts Receivable (Gross),Cash and Cash Equivalents
3192,821,Unresolved PA Cash,,Accounts Receivable (Gross),Cash and Cash Equivalents
1975,13382,UNIDENTIFIED CASH,,Accounts Receivable (Gross),Cash and Cash Equivalents
1975,22734,DENTAL CASH CLEARING,,Accounts Receivable (Gross),Cash and Cash Equivalents
3214,3692,US BANK UNAPPLIED,BALSH,Accounts Receivable (Gross),Cash and Cash Equivalents
1178,14425,Unapplied Cash-Epic-HB,Current Assets,Accounts Receivable (Gross),Cash and Cash Equivalents
1178,14427,Unapplied Cash-Other (Non-System),Current Assets,Accounts Receivable (Gross),Cash and Cash Equivalents
1829,1650,A/R - CSBR APPLIED CASH,,Accounts Receivable (Gross),Cash and Cash Equivalents
1157,418,Exchange Account SFI,Other Accounts,Accounts Receivable - Other,Cash and Cash Equivalents
1178,14428,Returned Checks-Epic-HB,,Accounts Receivable - Other,Cash and Cash Equivalents
1747,14034,UNAPPLIED CASH-OTHER AU MEDICAL CENTER,,Accounts Receivable - Other,Cash and Cash Equivalents
2719,1091,CASH CLEARING ACCOUNT,,Accounts Receivable - Other,Cash and Cash Equivalents
2956,721,AR- Receipts - Stuttgart,Cash,Accounts Receivable - Other,Cash and Cash Equivalents
2972,268,INTERCOMPANY CASH PAYMENTS,ASSETS,Accounts Receivable - Other,Cash and Cash Equivalents
2972,403,INTERCOMPANY CASH PAYMENTS,ASSETS,Accounts Receivable - Other,Cash and Cash Equivalents
3110,15,RETURNED CHECKS,A,Accounts Receivable - Other,Cash and Cash Equivalents
3121,7870,Void Holding-4158-HP58,(( LAWSON - DO NOT USE )),Accounts Receivable - Other,Cash and Cash Equivalents
3214,2462,A-R CORPORATE CASH,BALSH,Accounts Receivable - Other,Cash and Cash Equivalents
3152,778,Unapplied on Non-Patient Accounts - Cash Clearing Flexi,Unapplied on Non-Patient Accounts,Accounts Receivable - Other,Cash and Cash Equivalents
3167,99,REMI Contract,Expense,Other Expenses,Contract Labor
3167,3454,Agency Contract Fees,Expense,Other Expenses,Contract Labor
1157,1680,OSFHP Agency Fees,Supplies and Other Expenses,Other Expenses - General and Admin,Contract Labor
2992,48235,ASFOTASE ALFA HPP CONTRACT,CONTRACT,Other Expenses - General and Admin,Contract Labor
2977,2888,CONTRACT LABOR,TOTAL PROFESSIONAL FEES,Professional Fees,Contract Labor
3146,1720,CONTRACT LABOR AFFILIATE,Expense,Professional Fees,Contract Labor
3105,27340,Accrued Purchased Labor Locum Tenens,060 LABOR,Professional Fees,Contract Labor
3105,7409,Purchased Labor Locum Tenens,060 LABOR,Professional Fees,Contract Labor
2990,6130,Additional Risk-BCD,ECONMEDSERV,Professional Fees,Contract Labor
2990,6488,IBNR-Humana,ECONMEDSERV,Professional Fees,Contract Labor
1284,849,Temporary Help,Purchased Services,Purchased Services,Contract Labor
2972,3411,CONTRACTED MEDICAL EXTERNAL,CONTRACTED MEDICAL SERVICES,Purchased Services,Contract Labor
2988,9485,Physician Contract Labor,Administrative Expense,Purchased Services,Contract Labor
2988,9486,Physician Contract Labor,Administrative Expense,Purchased Services,Contract Labor
2988,9487,Midlevel Contract Labor,Administrative Expense,Purchased Services,Contract Labor
2988,9488,Midlevel Contract Labor,Administrative Expense,Purchased Services,Contract Labor
2990,6015,APP Clinical Integration Distribution,EOHLTH,Purchased Services,Contract Labor
3112,3589,PURCH SERV TEMP AGENCY RN,CONTRACTED FEES,Purchased Services,Contract Labor
3112,5313,PURCH SERV TEMP AGENCY AIDES,CONTRACTED FEES,Purchased Services,Contract Labor
3230,404,HOUSEKEEP CONTRACT,,Purchased Services,Contract Labor
2706,4435,Salaries - Temporary Help,INDIRECT MARGIN,Salaries,Contract Labor
2741,1160,CONTRACT LABOR-NONMEDICAL,CONTRACT LAB,Salaries,Contract Labor
2741,1163,CONTRACT LABOR-MEDICAL CARE,CONTRACT LAB,Salaries,Contract Labor
2972,2944,TEMP HELP SUPERVISOR,TEMPORARY HELP,Salaries,Contract Labor
2972,2949,TEMP HELP STUDENTS,TEMPORARY HELP,Salaries,Contract Labor
2972,3114,TEMP HELP BUDGET ADJ,TEMPORARY HELP,Salaries,Contract Labor
2972,3212,TEMP HELP REV ADVOCATE,TEMPORARY HELP,Salaries,Contract Labor
2988,156,Agency Sitters,24 - Salaries,Salaries,Contract Labor
2988,157,Agency Employees,24 - Salaries,Salaries,Contract Labor
2992,46471,AUTISM MITOCHON ANAL SALARIES - CONTRACT,SALARIES - CONTRACT,Salaries,Contract Labor
2992,46539,GIFTSS APR 2018 SALARIES - CONTRACT,SALARIES - CONTRACT,Salaries,Contract Labor
2992,46801,DIETARY CHOLESTEROL SALARIES - CONTRACT,SALARIES - CONTRACT,Salaries,Contract Labor
2992,47537,VASCULAR ANOMALIES SALARIES - CONTRACT,SALARIES - CONTRACT,Salaries,Contract Labor
2992,47674,ARHMS FY18 SALARIES - CONTRACT,SALARIES - CONTRACT,Salaries,Contract Labor
2992,47680,BD-STEPS AUG 18 SALARIES - CONTRACT,SALARIES - CONTRACT,Salaries,Contract Labor
2992,47752,TROPHOBLAST SYNCYTIA SALARIES - CONTRACT,SALARIES - CONTRACT,Salaries,Contract Labor
2992,47822,CHRONIC FATIGUE SYND SALARIES - CONTRACT,SALARIES - CONTRACT,Salaries,Contract Labor
2992,47827,PHYTOCANN MITO DYS SALARIES - CONTRACT,SALARIES - CONTRACT,Salaries,Contract Labor
2992,47860,PHENO META OBESITY Y SALARIES - CONTRACT,SALARIES - CONTRACT,Salaries,Contract Labor
2992,47864,PHYSIOLOGIC BIOMARKE SALARIES - CONTRACT,SALARIES - CONTRACT,Salaries,Contract Labor
2992,48002,METHIONINE SULFOXIDE SALARIES - CONTRACT,SALARIES - CONTRACT,Salaries,Contract Labor
2992,48021,ABI RAHMATALLAH SALARIES - CONTRACT,SALARIES - CONTRACT,Salaries,Contract Labor
2992,48026,CHROMOSOME 7q11.23 SALARIES - CONTRACT,SALARIES - CONTRACT,Salaries,Contract Labor
2992,48107,I-MAP CHRONIC TBI 3 SALARIES - CONTRACT,SALARIES - CONTRACT,Salaries,Contract Labor
2992,48113,COBRE - TAS PILOT YR SALARIES - CONTRACT,SALARIES - CONTRACT,Salaries,Contract Labor
2992,48152,METABOLIC NETWORKS A SALARIES - CONTRACT,SALARIES - CONTRACT,Salaries,Contract Labor
2992,48231,DEV IMPACT OF NICU E SALARIES - CONTRACT,SALARIES - CONTRACT,Salaries,Contract Labor
2992,48374,ABI NABAWEESI SALARIES - CONTRACT,SALARIES - CONTRACT,Salaries,Contract Labor
